ucr39,ucod,count
1,A162,2705
1,A169,1810
1,A180,853
1,A199,476
1,A170,105
1,A183,43
1,A165,42
1,A178,40
1,A188,33
1,A181,16
1,A164,11
1,A167,9
1,A187,6
1,A198,5
1,A182,4
1,A192,3
1,A190,3
1,A179,3
1,A191,1
1,A168,1
2,A523,217
2,A521,73
2,A529,35
2,A539,33
2,A520,31
2,A509,19
2,A530,11
2,A527,9
2,A505,6
2,A504,2
2,A515,2
2,A514,1
2,A528,1
2,A513,1
2,A502,1
3,B24,24788
3,B238,16598
3,B207,10070
3,B227,8232
3,B201,8053
3,B208,7768
3,B203,5415
3,B212,2949
3,B206,2583
3,B218,2558
3,B232,1983
3,B205,1690
3,B220,1592
3,B222,1529
3,B200,766
3,B210,688
3,B219,565
3,B213,534
3,B211,353
3,B217,315
3,B202,208
3,B209,177
3,B204,94
3,B231,5
5,C169,115516
5,C160,8836
5,C163,105
5,C164,61
5,C161,19
5,C162,19
5,C165,6
5,C168,4
5,C166,3
6,C189,451882
6,C20,72600
6,C19,31345
6,C210,7351
6,C181,5902
6,C187,3741
6,C180,3403
6,C182,2541
6,C218,899
6,C211,508
6,C184,495
6,C186,494
6,C183,77
6,C185,65
6,C212,38
6,C188,6
7,C259,403164
7,C250,1027
7,C254,729
7,C253,442
7,C252,192
7,C251,110
7,C258,54
7,C257,10
8,C349,1723585
8,C341,5749
8,C343,2441
8,C33,802
8,C340,417
8,C342,390
8,C348,63
9,C509,455537
9,C500,78
9,C504,5
9,C506,5
9,C508,4
9,C501,4
9,C502,3
9,C505,3
9,C503,2
10,C56,158964
10,C55,52064
10,C539,44111
10,C541,39736
10,C549,721
10,C530,414
10,C540,12
10,C543,9
10,C542,8
10,C531,7
10,C538,3
10,C548,2
11,C61,311877
12,C679,161336
12,C64,144294
12,C66,4095
12,C689,2357
12,C680,2197
12,C65,1899
12,C677,251
12,C675,58
12,C670,26
12,C676,12
12,C672,10
12,C671,7
12,C674,6
12,C678,5
12,C673,3
12,C688,2
12,C681,1
13,C859,150224
13,C851,22848
13,C833,18891
13,C845,9681
13,C831,8782
13,C829,4247
13,C837,2718
13,C830,2297
13,C844,1405
13,C840,901
13,C835,723
13,C838,660
13,C850,449
13,C839,347
13,C841,141
13,C832,114
13,C822,80
13,C834,78
13,C857,55
13,C820,43
13,C827,29
13,C836,27
13,C821,20
13,C842,5
13,C843,4
14,C920,98086
14,C911,49326
14,C959,32566
14,C950,21303
14,C910,15918
14,C921,11478
14,C927,4736
14,C929,2782
14,C919,2331
14,C951,1935
14,C925,1650
14,C924,1632
14,C914,1211
14,C915,1106
14,C930,1057
14,C913,527
14,C947,344
14,C923,313
14,C917,268
14,C940,160
14,C931,142
14,C939,131
14,C942,87
14,C957,57
14,C945,52
14,C943,37
14,C944,10
14,C941,9
14,C922,8
14,C912,5
14,C952,3
14,C937,1
15,C80,286570
15,C159,155951
15,C719,147226
15,C900,123154
15,C220,91986
15,C439,90336
15,C229,82202
15,C221,52365
15,C97,49119
15,C329,36914
15,C798,36882
15,C499,35730
15,C787,22981
15,C23,22840
15,C459,22234
15,C029,21565
15,C73,18632
15,C140,17501
15,C449,15423
15,C819,12904
15,C444,12789
15,C269,11417
15,C419,11357
15,C519,10468
15,C069,10397
15,C109,9050
15,C099,8490
15,C249,7873
15,C793,7812
15,C482,7639
15,C762,7507
15,C170,7349
15,C119,7136
15,C240,6773
15,C07,6458
15,C760,6001
